decayed,image,names,name,norad_cat_id,status,telemetries
null,https://db-satnogs.freetls.fastly.net/media/satellites/DSC00111.png,MVP-Argus - MVP A - SLU-03,Argus-2,99831,alive,[]
null,null,,EDGECUBE,99832,alive,[]
null,null,,HARP,99834,alive,[]
null,null,Helio 5,SORTIE,99835,alive,[]
null,null,³Cat-1,3CAT-1,99901,alive,[]
null,null,K²SAT,K2SAT,99913,alive,[]
null,null,VO-96,ExseedSat 1,99914,alive,[]
null,null,,IRVINE-02,99915,alive,[{"decoder":"irvine"}]
null,null,HS0K,KNACKSAT,99921,alive,[]
null,null,,SeeMe,99926,alive,[]
null,null,,VisionCube,99930,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/KAUSAT-5.jpg,,KAUSAT-5,99939,alive,[]
null,null,,CubeSail-1,99943,alive,[]
null,null,WM9XLJ,NMTSat,99944,alive,[]
null,null,,MEMSAT,99962,alive,[]
null,null,Nanosat-6,Oculus-ASR,99972,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/mayak-satellite.jpg,,MAYAK,99980,alive,[]
null,null,8J1RSP,RSP-00,99981,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/sigma.jpg,KHUSAT-03,SIGMA,99982,alive,[]
null,null,Egycubesat-1,NARSSCube-1,99998,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/cubsatsim.png,,CubeSatSim,99999,alive,[{"decoder":"cubesatsim"}]
