baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
null,null,true,null,false,http://www.planetary.org/explore/projects/lightsail-solar-sailing/#the-lightsail-2-mission,Mode U CW Beacon,Transmitter,44420,qD2ifZ7hJvYpfDvXBK4QoU,CW,6,Unknown,null,null,437025000,2019-06-24T00:54:08.556931Z,null,null,active
38400.0,null,true,null,false,https://fcc.report/ELS/Georgia-Institute-of-Technology/0038-EX-PL-2016,MODE S FSK38k4,Transmitter,44339,PoHnytUCUKpdWRz8q4PSKn,FSK,72,Unknown,null,null,2306500000,2019-06-24T00:54:08.561921Z,null,null,active
null,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE U Payload,Transmitter,44359,CG2xwmeFrKSuPwcSWt9dFZ,FM,1,Unknown,null,null,399968000,2019-06-24T00:54:08.564559Z,null,null,active
null,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE U Payload,Transmitter,44356,4W66Ce3PzEX5Sx29YoSdwT,FM,1,Unknown,null,null,400032000,2019-06-24T00:54:08.568587Z,null,null,active
null,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE V Payload,Transmitter,44356,3utBD4G694RicTaXt7uKBQ,FM,1,Unknown,null,null,150012000,2019-06-24T00:54:08.570854Z,null,null,active
null,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE V Payload,Transmitter,44359,HsRuqJHurWB25vUx6qNuyQ,FM,1,Unknown,null,null,149988000,2019-06-24T00:54:08.573065Z,null,null,active
9600.0,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE U GMSK9k6 AX.25,Transmitter,44359,RHw8SpwMRMg6wxUuSQB8HT,GMSK,63,Unknown,null,null,437535000,2019-06-24T00:54:08.575357Z,null,null,active
9600.0,null,true,null,false,https://exploration.engin.umich.edu/blog/?page_id=3257,MODE U GMSK9k6 AX.25,Transmitter,44356,e9izxeAprUqTcYVngQHFiM,GMSK,63,Unknown,null,null,437485000,2019-06-24T00:54:08.577786Z,null,null,active
38400.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=237,Mode U GMSK38k4,Transmitter,44352,V8ftSCUFrz3U7uwQr8Ne98,GMSK,63,Unknown,null,null,437525000,2019-06-24T11:11:03.360803Z,null,null,active
9600.0,null,true,null,false,https://community.libre.space/t/falcon-heavy-launch-2019-06-25-03-30-utc/4042/35?u=fredy,Mode U GMSK9k6 AX.25,Transmitter,44359,fnNDa5AKKxmgRccbCNtorV,GMSK,63,Unknown,null,null,437485000,2019-06-28T04:06:37.305291Z,null,null,active
9600.0,null,true,null,false,Multiple observations decoded on station #232 using the FSK decoder (not GMSK- I overrode that) - https://network.satnogs.org/observations/783080/,MODE U GFSK9k6 AX.25,Transmitter,44369,wRtRDeaoFCHiBQXfuNJEuQ,GFSK,75,Unknown,null,null,437200000,2019-06-30T07:25:53.905836Z,null,null,active
19200.0,-5257,true,null,false,https://network.satnogs.org/observations/784265/,Mode U GFSK19k2,Transmitter,44352,KvhPyZKYATt2gso5y3mPPU,GFSK,75,Unknown,null,null,437525000,2019-07-01T12:21:58.525146Z,null,null,active
null,null,false,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=609,Mode U/V FM,Transceiver,44426,3fk4x7mfvTQgRBpdBPirhR,FM,1,Unknown,null,null,145850000,2019-07-02T14:48:22.812725Z,436000000,FM,inactive
